Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C24",0402,2,1uF,
"C10, C2, C22, C23, C3, C4, C5, C6, C7, C8, C9",0402,11,0.1uF,
"C13, C14",0603,2,10uF,
"C15, C16",0402,2,33pF,
"C18, C19, C20, C21",0603,4,4.7uF,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,
J4,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
L1,0805,1,3.3uH,
"R1, R2",0402,2,5.1k,
"R10, R9",0402,2,27,
"R5, R7",0402,2,1k,
R6,0402,1,10k,
R8,0402,1,33,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U3,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,1,RP2354A,
U4,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,APS6404L-3SQRx-ZR,
U5,SOT-23-5,1,AP2112K-3.3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
