Designator,Mid X,Mid Y,Rotation,Layer
C1,135.5,-62.75,180.0,top
C10,139.75,-56.75,90.0,bottom
C13,136.975,-45.5,0.0,top
C14,137.025,-51.5,180.0,top
C15,142.0,-74.27,270.0,top
C16,137.5,-74.23,90.0,top
C18,145.2,-60.8,270.0,top
C19,144.75,-58.6,0.0,bottom
C2,138.0,-71.5,180.0,top
C20,144.75,-56.7,0.0,bottom
C21,135.0,-64.75,180.0,bottom
C22,146.6,-65.0,180.0,bottom
C23,141.995416,-72.299303,270.0,top
C24,138.0,-58.0,180.0,top
C3,144.0,-70.25,0.0,bottom
C4,146.6,-67.0,180.0,bottom
C5,146.6,-63.7,180.0,bottom
C6,135.5,-66.15,180.0,top
C7,146.6,-62.5,180.0,bottom
C8,142.75,-57.6,90.0,top
C9,139.75,-58.77,90.0,bottom
J1,140.5,-39.5,180.0,top
J2,131.61,-62.5,0.0,bottom
J3,149.39,-62.5,0.0,bottom
J4,140.5,-86.389999,90.0,top
L1,141.0625,-65.2,0.0,bottom
R1,141.74,-45.74,270.0,top
R10,140.75,-60.5,270.0,top
R2,139.2,-45.74,270.0,top
R5,139.99,-71.5,0.0,bottom
R6,139.71,-47.21,0.0,bottom
R7,139.71,-48.2,0.0,bottom
R8,147.0,-60.51,90.0,top
R9,141.7535,-60.5035,270.0,top
SW1,145.0,-47.6,0.0,top
SW2,145.0,-52.8,0.0,top
U3,140.6875,-65.625,90.0,top
U4,137.0,-59.73,0.0,top
U5,137.05,-48.6125,90.0,top
Y1,139.75,-74.25,270.0,top
